20230911,256.25
20230912,262.4
20230913,258.18
20230914,260
20230915,260.83
20230918,259.07
20230919,252.72
20230920,253.77
20230921,250.16
20230922,251.99
20230925,252.65
20230926,255.87
20230927,256.1
20230928,257.67
20230929,260.72
20231002,258.98
20231003,259.65
20231004,259.53
20231005,259.38
20231006,262.93
20231009,265.25
20231010,263
20231011,260.21
20231012,264.5
20231013,263.51
20231016,268.15
20231017,270
20231018,267.9
20231019,268.65
20231020,269.8
20231023,270.1
20231024,271.27
20231025,273.73
20231026,269.9
20231027,269.7
20231030,269.89
20231031,268.35
20231101,269.68
20231102,269.06
20231103,268.54
20231106,273.42
20231107,273.31
20231108,278.15
20231109,276.65
20231110,280.19
20231113,283.97
20231114,280.87
20231115,282.89
20231116,279.7
20231117,281.6
20231120,282.91
20231121,282.79
20231122,286.16
20231123,286.19
20231124,286.85
20231127,282.33
20231128,279.91
20231129,276.8
20231130,277.5
20231201,273.97
20231204,270.96
20231205,279.62
20231206,267.58
20231207,265.12
20231208,265.16
20231211,256.89
20231212,257.6
20231213,260.45
20231214,256.64
20231215,268.21
20231218,268.4
20231219,267.35
20231220,266.61
20231221,265.19
20231222,271.3
20231225,271.08
20231226,271.9
20231227,271.08
20231228,271.74
20231229,270.82
20240103,274.56
20240104,274.12
20240105,273.62
20240108,276.76
20240109,275.28
20240110,274.49
20240111,275.71
20240112,275.84
20240115,275.96
20240116,276.01
20240117,278
20240118,277.07
20240119,274.86
20240122,274.93
20240123,275.9
20240124,273.77
20240125,272.81
20240126,272.65
20240129,274.05
20240130,275.67
20240131,276
20240201,276.86
20240202,276.74
20240205,277.84
20240206,278.67
20240207,284.41
20240208,282.17
20240209,283.5
20240212,287.28
20240213,287.07
20240214,289.06
20240215,290.24
20240216,288.33
20240219,288.93
20240220,283.9
20240221,282
20240222,284.77
20240226,291.25
20240227,292.52
20240228,291.75
20240229,292.19
20240301,295.38
20240304,299.17
20240305,298.4
20240306,297.71
20240307,300.4
20240311,299.79
20240312,300.9
20240313,298.85
20240314,295.83
20240315,298.3
20240318,298.87
20240319,295.2
20240320,295.4
20240321,295.62
20240322,292.99
20240325,293.9
20240326,294.11
20240327,295.1
20240328,299
20240329,298.72
20240401,300.43
20240402,300.38
20240403,306.72
20240404,304.61
20240405,306.1
20240408,307.75
20240409,306.76
20240410,306.48
20240411,306.95
20240412,307.1
20240415,307.99
20240416,308.29
20240417,306.59
20240418,308.1
